image_id,official_split,split
COCO_train2014_000000010540,train,train
COCO_train2014_000000010545,train,train
COCO_train2014_000000010701,train,train
COCO_train2014_000000010728,train,train
COCO_train2014_000000010817,train,train
COCO_train2014_000000010877,train,train
COCO_train2014_000000010881,train,train
COCO_train2014_000000011075,train,train
COCO_train2014_000000011147,train,train
COCO_train2014_000000011265,train,train
COCO_train2014_000000011271,train,train
COCO_train2014_000000011282,train,train
COCO_train2014_000000011326,train,train
COCO_train2014_000000011373,train,train
COCO_train2014_000000011403,train,train
COCO_train2014_000000011426,train,train
COCO_train2014_000000011485,train,train
COCO_train2014_000000011487,train,train
COCO_train2014_000000011569,train,train
COCO_train2014_000000011576,train,train
COCO_train2014_000000011635,train,train
COCO_train2014_000000011638,train,train
COCO_train2014_000000011720,train,train
COCO_train2014_000000011754,train,train
COCO_train2014_000000011774,train,train
COCO_train2014_000000011826,train,train
COCO_train2014_000000011849,train,train
COCO_train2014_000000012044,train,train
COCO_train2014_000000012109,train,train
COCO_train2014_000000012145,train,train
COCO_train2014_000000012156,train,train
COCO_train2014_000000012240,train,train
COCO_train2014_000000012307,train,train
COCO_train2014_000000012408,train,train
COCO_train2014_000000012428,train,train
COCO_train2014_000000012556,train,train
COCO_train2014_000000012612,train,train
COCO_train2014_000000012650,train,train
COCO_train2014_000000012698,train,train
COCO_train2014_000000012711,train,train
COCO_train2014_000000012726,train,train
COCO_train2014_000000012784,train,train
COCO_train2014_000000012803,train,train
COCO_train2014_000000012805,train,train
COCO_train2014_000000012825,train,train
COCO_train2014_000000012838,train,train
COCO_train2014_000000012839,train,train
COCO_train2014_000000012891,train,train
COCO_train2014_000000012892,train,train
COCO_train2014_000000012930,train,train
COCO_train2014_000000013045,train,train
COCO_train2014_000000013121,train,train
COCO_train2014_000000013129,train,train
COCO_train2014_000000013140,train,train
COCO_train2014_000000013143,train,train
COCO_train2014_000000013230,train,train
COCO_train2014_000000013325,train,train
COCO_train2014_000000013452,train,train
COCO_train2014_000000013517,train,train
COCO_train2014_000000013576,train,train
COCO_train2014_000000013603,train,train
COCO_train2014_000000013636,train,train
COCO_train2014_000000013719,train,train
COCO_train2014_000000013720,train,train
COCO_train2014_000000013800,train,train
COCO_train2014_000000013934,train,train
COCO_train2014_000000014014,train,train
COCO_train2014_000000014044,train,train
COCO_train2014_000000014049,train,train
COCO_train2014_000000014238,train,train
COCO_train2014_000000014244,train,train
COCO_train2014_000000014253,train,train
COCO_train2014_000000014269,train,train
COCO_train2014_000000014375,train,train
COCO_train2014_000000014468,train,train
COCO_train2014_000000014502,train,train
COCO_train2014_000000014683,train,train
COCO_train2014_000000014757,train,train
COCO_train2014_000000014764,train,train
COCO_train2014_000000014873,train,train
COCO_train2014_000000014886,train,train
COCO_train2014_000000014938,train,train
COCO_train2014_000000014966,train,train
COCO_train2014_000000014986,train,train
COCO_train2014_000000015096,train,train
COCO_train2014_000000015110,train,train
COCO_train2014_000000015165,train,train
COCO_train2014_000000015197,train,train
COCO_train2014_000000015354,train,train
COCO_train2014_000000015394,train,train
COCO_train2014_000000015427,train,train
COCO_train2014_000000015472,train,train
COCO_train2014_000000015485,train,train
COCO_train2014_000000015564,train,train
COCO_train2014_000000015794,train,train
COCO_train2014_000000016089,train,train
COCO_train2014_000000016113,train,train
COCO_train2014_000000016114,train,train
COCO_train2014_000000016273,train,train
COCO_train2014_000000016297,train,train
COCO_train2014_000000016342,train,train
COCO_train2014_000000016364,train,train
COCO_train2014_000000016470,train,train
COCO_train2014_000000016496,train,train
COCO_train2014_000000016525,train,train
COCO_train2014_000000016737,train,train
COCO_train2014_000000016741,train,train
COCO_train2014_000000016957,train,train
COCO_train2014_000000017057,train,train
COCO_train2014_000000017076,train,train
COCO_train2014_000000017312,train,train
COCO_train2014_000000017401,train,train
COCO_train2014_000000017468,train,train
COCO_train2014_000000017675,train,train
COCO_train2014_000000017817,train,train
COCO_train2014_000000017839,train,train
COCO_train2014_000000017962,train,train
COCO_train2014_000000017967,train,train
COCO_train2014_000000017985,train,train
COCO_train2014_000000018041,train,train
COCO_train2014_000000018214,train,train
COCO_train2014_000000018256,train,train
COCO_train2014_000000018316,train,train
COCO_train2014_000000018439,train,train
COCO_train2014_000000018460,train,train
COCO_train2014_000000018473,train,train
COCO_train2014_000000018495,train,train
COCO_train2014_000000018535,train,train
COCO_train2014_000000018627,train,train
COCO_train2014_000000018641,train,train
COCO_train2014_000000018658,train,train
COCO_train2014_000000018780,train,train
COCO_train2014_000000018802,train,train
COCO_train2014_000000018816,train,train
COCO_train2014_000000018942,train,train
COCO_train2014_000000019074,train,train
COCO_train2014_000000019250,train,train
COCO_train2014_000000019450,train,train
COCO_train2014_000000019528,train,train
COCO_train2014_000000019546,train,train
COCO_train2014_000000019635,train,train
COCO_train2014_000000019695,train,train
COCO_train2014_000000019698,train,train
COCO_train2014_000000019707,train,train
COCO_train2014_000000019725,train,train
COCO_train2014_000000019828,train,train
COCO_train2014_000000019926,train,train
COCO_train2014_000000019980,train,train
COCO_train2014_000000019994,train,train
COCO_train2014_000000020133,train,train
COCO_train2014_000000020168,train,train
COCO_train2014_000000020172,train,train
COCO_train2014_000000020182,train,train
COCO_train2014_000000020279,train,train
COCO_train2014_000000020418,train,train
COCO_train2014_000000020421,train,train
COCO_train2014_000000020588,train,train
COCO_train2014_000000020619,train,train
COCO_train2014_000000020768,train,train
COCO_train2014_000000020769,train,train
COCO_train2014_000000020770,train,train
COCO_train2014_000000020888,train,train
COCO_train2014_000000020966,train,train
COCO_train2014_000000021003,train,train
COCO_train2014_000000021095,train,train
COCO_train2014_000000021175,train,train
COCO_train2014_000000021268,train,train
COCO_train2014_000000021320,train,train
COCO_train2014_000000021343,train,train
COCO_train2014_000000021353,train,train
COCO_train2014_000000021451,train,train
COCO_train2014_000000021462,train,train
COCO_train2014_000000021497,train,train
COCO_train2014_000000021534,train,train
COCO_train2014_000000021622,train,train
COCO_train2014_000000021676,train,train
COCO_train2014_000000021740,train,train
COCO_train2014_000000021780,train,train
COCO_train2014_000000021801,train,train
COCO_train2014_000000021868,train,train
COCO_train2014_000000021942,train,train
COCO_train2014_000000021981,train,train
COCO_train2014_000000022012,train,train
COCO_train2014_000000022014,train,train
COCO_train2014_000000022145,train,train
COCO_train2014_000000022226,train,train
COCO_train2014_000000022281,train,train
COCO_train2014_000000022326,train,train
COCO_train2014_000000022374,train,train
COCO_train2014_000000022411,train,train
COCO_train2014_000000022440,train,train
COCO_train2014_000000022484,train,train
COCO_train2014_000000022529,train,train
COCO_train2014_000000022536,train,train
COCO_train2014_000000022564,train,train
COCO_train2014_000000022650,train,train
COCO_train2014_000000022651,train,train
COCO_train2014_000000022658,train,train
COCO_train2014_000000022696,train,train
COCO_train2014_000000022796,train,train
COCO_train2014_000000022871,train,train
COCO_train2014_000000022949,train,train
COCO_train2014_000000023015,train,train
COCO_train2014_000000023025,train,train
COCO_train2014_000000023089,train,train
COCO_train2014_000000023093,train,train
COCO_train2014_000000023098,train,train
COCO_train2014_000000023137,train,train
COCO_train2014_000000023194,train,train
COCO_train2014_000000023258,train,train
COCO_train2014_000000023315,train,train
COCO_train2014_000000023424,train,train
COCO_train2014_000000023434,train,train
COCO_train2014_000000023539,train,train
COCO_train2014_000000023639,train,train
COCO_train2014_000000023760,train,train
COCO_train2014_000000023874,train,train
COCO_train2014_000000023908,train,train
COCO_train2014_000000023914,train,train
COCO_train2014_000000023957,train,train
COCO_train2014_000000024002,train,train
COCO_train2014_000000024030,train,train
COCO_train2014_000000024042,train,train
COCO_train2014_000000024072,train,train
COCO_train2014_000000024081,train,train
COCO_train2014_000000024105,train,train
COCO_train2014_000000024107,train,train
COCO_train2014_000000024132,train,train
COCO_train2014_000000024231,train,train
COCO_train2014_000000024401,train,train
COCO_train2014_000000024411,train,train
COCO_train2014_000000024436,train,train
COCO_train2014_000000024520,train,train
COCO_train2014_000000024571,train,train
COCO_train2014_000000024712,train,train
COCO_train2014_000000024725,train,train
COCO_train2014_000000024730,train,train
COCO_train2014_000000024788,train,train
COCO_train2014_000000024859,train,train
COCO_train2014_000000024912,train,train
COCO_train2014_000000024939,train,train
COCO_train2014_000000024948,train,train
COCO_train2014_000000025058,train,train
COCO_train2014_000000025167,train,train
COCO_train2014_000000025174,train,train
COCO_train2014_000000025192,train,train
COCO_train2014_000000025388,train,train
COCO_train2014_000000025414,train,train
COCO_train2014_000000025485,train,train
COCO_train2014_000000025506,train,train
COCO_train2014_000000025549,train,train
COCO_train2014_000000025628,train,train
COCO_train2014_000000025673,train,train
COCO_train2014_000000025729,train,train
COCO_train2014_000000025746,train,train
COCO_train2014_000000025803,train,train
COCO_train2014_000000025994,train,train
COCO_train2014_000000026052,train,train
COCO_train2014_000000026097,train,train
COCO_train2014_000000026274,train,train
COCO_train2014_000000026294,train,train
COCO_train2014_000000026454,train,train
COCO_train2014_000000026506,train,train
COCO_train2014_000000026577,train,train
COCO_train2014_000000026647,train,train
COCO_train2014_000000026780,train,train
COCO_train2014_000000026783,train,train
COCO_train2014_000000026829,train,train
COCO_train2014_000000026893,train,train
COCO_train2014_000000027046,train,train
COCO_train2014_000000027149,train,train
COCO_train2014_000000027302,train,train
COCO_train2014_000000027424,train,train
COCO_train2014_000000027482,train,train
COCO_train2014_000000027510,train,train
COCO_train2014_000000027556,train,train
COCO_train2014_000000027616,train,train
COCO_train2014_000000027627,train,train
COCO_train2014_000000027701,train,train
COCO_train2014_000000027718,train,train
COCO_train2014_000000027727,train,train
COCO_train2014_000000027742,train,train
COCO_train2014_000000027763,train,train
COCO_train2014_000000027792,train,train
COCO_train2014_000000027888,train,train
COCO_train2014_000000027901,train,train
COCO_train2014_000000027974,train,train
COCO_train2014_000000028038,train,train
COCO_train2014_000000028085,train,train
COCO_train2014_000000028186,train,train
COCO_train2014_000000028231,train,train
COCO_train2014_000000028251,train,train
COCO_train2014_000000028253,train,train
COCO_train2014_000000028263,train,train
COCO_train2014_000000028307,train,train
COCO_train2014_000000028385,train,train
COCO_train2014_000000028392,train,train
COCO_train2014_000000028525,train,train
COCO_train2014_000000028674,train,train
COCO_train2014_000000028759,train,train
COCO_train2014_000000028802,train,train
COCO_train2014_000000028823,train,train
COCO_train2014_000000028855,train,train
COCO_train2014_000000028952,train,train
COCO_train2014_000000029145,train,train
COCO_train2014_000000029154,train,train
COCO_train2014_000000029161,train,train
COCO_train2014_000000029324,train,train
COCO_train2014_000000029473,train,train
COCO_train2014_000000029602,train,train
COCO_train2014_000000029607,train,train
COCO_train2014_000000029642,train,train
COCO_train2014_000000029801,train,train
COCO_train2014_000000029802,train,train
COCO_train2014_000000029891,train,train
COCO_train2014_000000029931,train,train
COCO_train2014_000000030139,train,train
COCO_train2014_000000030288,train,train
COCO_train2014_000000030328,train,train
COCO_train2014_000000030526,train,train
COCO_train2014_000000030565,train,train
COCO_train2014_000000030681,train,train
COCO_train2014_000000030962,train,train
COCO_train2014_000000031084,train,train
COCO_train2014_000000031090,train,train
COCO_train2014_000000031135,train,train
COCO_train2014_000000031157,train,train
COCO_train2014_000000031161,train,train
COCO_train2014_000000031187,train,train
COCO_train2014_000000031230,train,train
COCO_train2014_000000031329,train,train
COCO_train2014_000000031462,train,train
COCO_train2014_000000031536,train,train
COCO_train2014_000000031537,train,train
COCO_train2014_000000031604,train,train
COCO_train2014_000000031729,train,train
COCO_train2014_000000031733,train,train
COCO_train2014_000000031922,train,train
COCO_train2014_000000032068,train,train
COCO_train2014_000000032074,train,train
COCO_train2014_000000032206,train,train
COCO_train2014_000000032231,train,train
COCO_train2014_000000032458,train,train
COCO_train2014_000000032471,train,train
COCO_train2014_000000032586,train,train
COCO_train2014_000000032606,train,train
COCO_train2014_000000032611,train,train
COCO_train2014_000000032627,train,train
COCO_train2014_000000032629,train,train
COCO_train2014_000000032664,train,train
COCO_train2014_000000032699,train,train
COCO_train2014_000000032739,train,train
COCO_train2014_000000032757,train,train
COCO_train2014_000000032816,train,train
COCO_train2014_000000032818,train,train
COCO_train2014_000000032829,train,train
COCO_train2014_000000032843,train,train
COCO_train2014_000000032893,train,train
COCO_train2014_000000032937,train,train
COCO_train2014_000000032949,train,train
COCO_train2014_000000032957,train,train
COCO_train2014_000000033034,train,train
COCO_train2014_000000033057,train,train
COCO_train2014_000000033094,train,train
COCO_train2014_000000033471,train,train
COCO_train2014_000000033481,train,train
COCO_train2014_000000033494,train,train
COCO_train2014_000000033500,train,train
COCO_train2014_000000033505,train,train
COCO_train2014_000000033571,train,train
COCO_train2014_000000033596,train,train
COCO_train2014_000000033633,train,train
COCO_train2014_000000033663,train,train
COCO_train2014_000000033733,train,train
COCO_train2014_000000033841,train,train
COCO_train2014_000000033888,train,train
COCO_train2014_000000033901,train,train
COCO_train2014_000000033943,train,train
COCO_train2014_000000034039,train,train
COCO_train2014_000000034074,train,train
COCO_train2014_000000034086,train,train
COCO_train2014_000000034104,train,train
COCO_train2014_000000034120,train,train
COCO_train2014_000000034304,train,train
COCO_train2014_000000034430,train,train
COCO_train2014_000000034475,train,train
COCO_train2014_000000034480,train,train
COCO_train2014_000000034489,train,train
COCO_train2014_000000034491,train,train
COCO_train2014_000000034523,train,train
COCO_train2014_000000034624,train,train
COCO_train2014_000000034779,train,train
COCO_train2014_000000034828,train,train
COCO_train2014_000000034854,train,train
COCO_train2014_000000035004,train,train
COCO_train2014_000000035045,train,train
COCO_train2014_000000035094,train,train
COCO_train2014_000000035097,train,train
COCO_train2014_000000035102,train,train
COCO_train2014_000000035127,train,train
COCO_train2014_000000035265,train,train
COCO_train2014_000000035358,train,train
COCO_train2014_000000035361,train,train
COCO_train2014_000000035407,train,train
COCO_train2014_000000035424,train,train
COCO_train2014_000000035427,train,train
COCO_train2014_000000035473,train,train
COCO_train2014_000000035508,train,train
COCO_train2014_000000035532,train,train
COCO_train2014_000000035696,train,train
COCO_train2014_000000035712,train,train
COCO_train2014_000000035725,train,train
COCO_train2014_000000035741,train,train
COCO_train2014_000000035771,train,train
COCO_train2014_000000035820,train,train
COCO_train2014_000000035844,train,train
COCO_train2014_000000036017,train,train
COCO_train2014_000000036029,train,train
COCO_train2014_000000036260,train,train
COCO_train2014_000000036273,train,train
COCO_train2014_000000036303,train,train
COCO_train2014_000000036417,train,train
COCO_train2014_000000036439,train,train
COCO_train2014_000000036448,train,train
COCO_train2014_000000036544,train,train
COCO_train2014_000000036567,train,train
COCO_train2014_000000036574,train,train
COCO_train2014_000000036622,train,train
COCO_train2014_000000036658,train,train
COCO_train2014_000000036811,train,train
COCO_train2014_000000036966,train,train
COCO_train2014_000000036968,train,train
COCO_train2014_000000037015,train,train
COCO_train2014_000000037035,train,train
COCO_train2014_000000037039,train,train
COCO_train2014_000000037059,train,train
COCO_train2014_000000037169,train,train
COCO_train2014_000000037174,train,train
COCO_train2014_000000037186,train,train
COCO_train2014_000000037286,train,train
COCO_train2014_000000037291,train,train
COCO_train2014_000000037326,train,train
COCO_train2014_000000037327,train,train
COCO_train2014_000000037394,train,train
COCO_train2014_000000037429,train,train
COCO_train2014_000000037477,train,train
COCO_train2014_000000037502,train,train
COCO_train2014_000000037779,train,train
COCO_train2014_000000037782,train,train
COCO_train2014_000000037790,train,train
COCO_train2014_000000037847,train,train
COCO_train2014_000000037852,train,train
COCO_train2014_000000037862,train,train
COCO_train2014_000000037913,train,train
COCO_train2014_000000037932,train,train
COCO_train2014_000000038274,train,train
COCO_train2014_000000038305,train,train
COCO_train2014_000000038370,train,train
COCO_train2014_000000038432,train,train
COCO_train2014_000000038440,train,train
COCO_train2014_000000038582,train,train
COCO_train2014_000000038584,train,train
COCO_train2014_000000038681,train,train
COCO_train2014_000000038686,train,train
COCO_train2014_000000038722,train,train
COCO_train2014_000000038730,train,train
COCO_train2014_000000038895,train,train
COCO_train2014_000000038934,train,train
COCO_train2014_000000038999,train,train
COCO_train2014_000000039065,train,train
COCO_train2014_000000039138,train,train
COCO_train2014_000000039195,train,train
COCO_train2014_000000039236,train,train
COCO_train2014_000000039301,train,train
COCO_train2014_000000039359,train,train
COCO_train2014_000000039360,train,train
COCO_train2014_000000039438,train,train
COCO_train2014_000000039455,train,train
COCO_train2014_000000039570,train,train
COCO_train2014_000000039597,train,train
COCO_train2014_000000039643,train,train
COCO_train2014_000000039698,train,train
COCO_train2014_000000039716,train,train
COCO_train2014_000000039733,train,train
COCO_train2014_000000039948,train,train
COCO_train2014_000000039971,train,train
COCO_train2014_000000040100,train,train
COCO_train2014_000000040114,train,train
COCO_train2014_000000040130,train,train
COCO_train2014_000000040251,train,train
COCO_train2014_000000040286,train,train
COCO_train2014_000000040304,train,train
COCO_train2014_000000040466,train,train
COCO_train2014_000000040535,train,train
COCO_train2014_000000040643,train,train
COCO_train2014_000000040685,train,train
COCO_train2014_000000040891,train,train
COCO_train2014_000000040938,train,train
COCO_train2014_000000040988,train,train
COCO_train2014_000000040995,train,train
COCO_train2014_000000041022,train,train
COCO_train2014_000000041087,train,train
COCO_train2014_000000041097,train,train
COCO_train2014_000000041138,train,train
COCO_train2014_000000041233,train,train
COCO_train2014_000000041305,train,train
COCO_train2014_000000041311,train,train
COCO_train2014_000000041356,train,train
COCO_train2014_000000041398,train,train
COCO_train2014_000000041404,train,train
COCO_train2014_000000041453,train,train
COCO_train2014_000000041730,train,train
COCO_train2014_000000041739,train,train
COCO_train2014_000000041745,train,train
COCO_train2014_000000041818,train,train
COCO_train2014_000000041887,train,train
COCO_train2014_000000042079,train,train
COCO_train2014_000000042109,train,train
COCO_train2014_000000042156,train,train
COCO_train2014_000000042209,train,train
COCO_train2014_000000042254,train,train
COCO_train2014_000000042320,train,train
COCO_train2014_000000042384,train,train
COCO_train2014_000000042427,train,train
COCO_train2014_000000042481,train,train
COCO_train2014_000000042540,train,train
COCO_train2014_000000042619,train,train
COCO_train2014_000000042707,train,train
COCO_train2014_000000042748,train,train
COCO_train2014_000000042799,train,train
COCO_train2014_000000042820,train,train
COCO_train2014_000000042972,train,train
COCO_train2014_000000043193,train,train
COCO_train2014_000000043227,train,train
COCO_train2014_000000043269,train,train
COCO_train2014_000000043270,train,train
COCO_train2014_000000043279,train,train
COCO_train2014_000000043411,train,train
COCO_train2014_000000043431,train,train
COCO_train2014_000000043513,train,train
COCO_train2014_000000043750,train,train
COCO_train2014_000000043774,train,train
COCO_train2014_000000043893,train,train
COCO_train2014_000000043966,train,train
COCO_train2014_000000044017,train,train
COCO_train2014_000000044138,train,train
COCO_train2014_000000044170,train,train
COCO_train2014_000000044266,train,train
COCO_train2014_000000044286,train,train
COCO_train2014_000000044372,train,train
COCO_train2014_000000044388,train,train
COCO_train2014_000000044404,train,train
COCO_train2014_000000044569,train,train
COCO_train2014_000000044583,train,train
COCO_train2014_000000044751,train,train
COCO_train2014_000000044763,train,train
COCO_train2014_000000044774,train,train
COCO_train2014_000000044782,train,train
COCO_train2014_000000044788,train,train
COCO_train2014_000000044813,train,train
COCO_train2014_000000044815,train,train
COCO_train2014_000000044816,train,train
COCO_train2014_000000044818,train,train
COCO_train2014_000000044830,train,train
COCO_train2014_000000044911,train,train
COCO_train2014_000000045026,train,train
COCO_train2014_000000045049,train,train
COCO_train2014_000000045071,train,train
COCO_train2014_000000045131,train,train
COCO_train2014_000000045183,train,train
COCO_train2014_000000045215,train,train
COCO_train2014_000000045237,train,train
COCO_train2014_000000045292,train,train
COCO_train2014_000000045337,train,train
COCO_train2014_000000045343,train,train
COCO_train2014_000000045396,train,train
COCO_train2014_000000045446,train,train
COCO_train2014_000000045455,train,train
COCO_train2014_000000045475,train,train
COCO_train2014_000000045490,train,train
COCO_train2014_000000045492,train,train
COCO_train2014_000000045524,train,train
COCO_train2014_000000045537,train,train
COCO_train2014_000000045558,train,train
COCO_train2014_000000045593,train,train
COCO_train2014_000000045625,train,train
COCO_train2014_000000045672,train,train
COCO_train2014_000000045678,train,train
COCO_train2014_000000045808,train,train
COCO_train2014_000000045946,train,train
COCO_train2014_000000045999,train,train
COCO_train2014_000000046029,train,train
COCO_train2014_000000046071,train,train
COCO_train2014_000000046106,train,train
COCO_train2014_000000046149,train,train
COCO_train2014_000000046169,train,train
COCO_train2014_000000046170,train,train
COCO_train2014_000000046255,train,train
COCO_train2014_000000046306,train,train
COCO_train2014_000000046320,train,train
COCO_train2014_000000046385,train,train
COCO_train2014_000000046408,train,train
COCO_train2014_000000046519,train,train
COCO_train2014_000000046564,train,train
COCO_train2014_000000046981,train,train
COCO_train2014_000000046990,train,train
COCO_train2014_000000046997,train,train
COCO_train2014_000000047022,train,train
COCO_train2014_000000047074,train,train
COCO_train2014_000000047084,train,train
COCO_train2014_000000047213,train,train
COCO_train2014_000000047294,train,train
COCO_train2014_000000047387,train,train
COCO_train2014_000000047407,train,train
COCO_train2014_000000047481,train,train
COCO_train2014_000000047548,train,train
COCO_train2014_000000047550,train,train
COCO_train2014_000000047631,train,train
COCO_train2014_000000047652,train,train
COCO_train2014_000000047659,train,train
COCO_train2014_000000047667,train,train
COCO_train2014_000000047746,train,train
COCO_train2014_000000047813,train,train
COCO_train2014_000000047867,train,train
COCO_train2014_000000047877,train,train
COCO_train2014_000000047907,train,train
COCO_train2014_000000047909,train,train
COCO_train2014_000000047928,train,train
COCO_train2014_000000047949,train,train
COCO_train2014_000000047952,train,train
COCO_train2014_000000047974,train,train
